Number,ALICE+CMS Error,ATLAS Error,q,T,xx,yy,zz
52,59.17397585895796,62.863562497910785,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935922582844,0.7290000000000012
53,59.17397616311708,62.863563513880315,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000149011624
54,59.17397576704604,62.863562235517,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000000000012
55,59.17397599826164,62.86356228869086,2.1976225701099614,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000000000012
56,59.17397551033889,62.86356254129617,2.1976225552088002,0.7813000149011309,5.354794382241973,1.8281935773571232,0.7290000000000012
57,59.173975734226715,62.86356213217484,2.1976225552088002,0.7812999999999697,5.354794397143134,1.8281935773571232,0.7290000000000012
58,59.17397585895796,62.863562497910785,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935922582844,0.7290000000000012
59,59.17397616311708,62.863563513880315,2.1976225552088002,0.7812999999999697,5.354794382241973,1.8281935773571232,0.7290000149011624
60,62.27648158784168,17.57940222658455,1.1359874843111006,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
61,62.27648158784168,17.57940222658455,1.1359874843111006,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
62,62.276481370029714,17.57940299004827,1.1359874992122618,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
63,62.27648056420182,17.57940061476847,1.1359874843111006,0.7687405623569641,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
64,62.27648166912899,17.57940243666301,1.1359874843111006,0.7687405474558029,5.502816462493092,1.7763568394002505e-15,0.6669147382361715
65,62.27648113869593,17.579401282322777,1.1359874843111006,0.7687405474558029,5.502816447591931,1.4901162970204496e-08,0.6669147382361715
66,62.27648138243779,17.579400593404586,1.1359874843111006,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147531373327
67,62.27648158784168,17.57940222658455,1.1359874843111006,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
68,62.276481370029714,17.57940299004827,1.1359874992122618,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
69,62.27648056420182,17.57940061476847,1.1359874843111006,0.7687405623569641,5.502816447591931,1.7763568394002505e-15,0.6669147382361715
70,62.27648166912899,17.57940243666301,1.1359874843111006,0.7687405474558029,5.502816462493092,1.7763568394002505e-15,0.6669147382361715
71,62.27648113869593,17.579401282322777,1.1359874843111006,0.7687405474558029,5.502816447591931,1.4901162970204496e-08,0.6669147382361715
72,62.27648138243779,17.579400593404586,1.1359874843111006,0.7687405474558029,5.502816447591931,1.7763568394002505e-15,0.6669147531373327
73,61.44415951748856,70.81452617749522,2.4195901755000104,1.0,7.49788340911938,1.5449928944987197,0.9608818259951242
74,61.44415951748856,70.81452617749522,2.4195901755000104,1.0,7.49788340911938,1.5449928944987197,0.9608818259951242
75,41.52134832786764,28.306165301668408,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350075213865
76,41.52134832786764,28.306165301668408,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350075213865
77,41.52134816009795,28.306165273416905,1.6600541279841345,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350075213865
78,41.52134807910547,28.306166212368034,1.6600541130829733,0.8631586891639527,6.317358224326145,0.6307864756395102,0.7869350075213865
79,41.521348296455116,28.306165132559524,1.6600541130829733,0.8631586742627915,6.317358239227306,0.6307864756395102,0.7869350075213865
80,41.5213483852511,28.306165968401096,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864905406714,0.7869350075213865
81,41.521348982953775,28.306167247283458,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350224225476
82,41.52134832786764,28.306165301668408,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350075213865
83,41.52134816009795,28.306165273416905,1.6600541279841345,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350075213865
84,41.52134807910547,28.306166212368034,1.6600541130829733,0.8631586891639527,6.317358224326145,0.6307864756395102,0.7869350075213865
85,41.521348296455116,28.306165132559524,1.6600541130829733,0.8631586742627915,6.317358239227306,0.6307864756395102,0.7869350075213865
86,41.5213483852511,28.306165968401096,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864905406714,0.7869350075213865
87,41.521348982953775,28.306167247283458,1.6600541130829733,0.8631586742627915,6.317358224326145,0.6307864756395102,0.7869350224225476
88,36.934510110358794,19.402095153438108,1.5922346948620518,0.9103294644882288,6.309481218144238,0.6963321692855213,0.6518383712015844
89,36.934510110358794,19.402095153438108,1.5922346948620518,0.9103294644882288,6.309481218144238,0.6963321692855213,0.6518383712015844
90,36.93451011371474,19.402095231552853,1.592234709763213,0.9103294644882288,6.309481218144238,0.6963321692855213,0.6518383712015844
91,36.9345096826371,19.402095443159762,1.5922346948620518,0.91032947938939,6.309481218144238,0.6963321692855213,0.6518383712015844
